station_uuid	station_name	call_sign	station_id	category_id	format_id	organization_id	band_id	geo_position	date_acquired	date_disposed	has_jump2go	is_searchable	frequency	website	slug	phonetic_name	slogan	description	date_created	date_modified	site_slug	seo_description	status	is_explicit	publish_state_id	search_language	language	image_url
ed6fb00a-5f69-438f-94a3-c54f4cfc079b	A Boy Band Christmas	ABOYBANDCHRISTMAS	7656	1	37	1	(null)	(0,0)	1000-01-01	1000-01-01	f	t	~^~	https://www.audacy.com/stations	aboybandchristmas	~^~	Hosted and curated by 98 Degrees	It’s a gift for all of us when members of 98 Degrees, O-Town and All-4-One join forces for a Christmas song for us to enjoy - “A Boy Band Christmas!” Hear this song and many more of your favorite holiday songs, curated and hosted by 98 Degrees.	2022-12-07 15:06:06.098446+00	2023-11-08 20:35:57.685621+00	aboybandchristmas	It’s a gift for all of us when members of 98 Degrees, O-Town and All-4-One join forces for a Christmas song for us to enjoy - “A Boy Band Christmas!” Hear this song and many more of your favorite holiday songs, curated and hosted by 98 Degrees.	t	f	910	en	en	https://images.radio.com/aud-opsconsole-media-images-prod-prod/aboybandchristmas-1670425503218.jpg
c69ce41e-55f8-4a12-a9e7-cf9fc0d3c6d9	1090 am KAAY	KAAYAM	4039	1	15	200	705	(0,0)	1000-01-01	1000-01-01	f	t	1090	http://www.1090kaay.com	1090amkaay	1090 am KAAY on Audacy	Hear The Word - Little Rock	Hear The Word & Singing News Radio	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	1090amkaay	Hear The Word & Singing News Radio! Listen to 1090 am KAAY here and get all your favorite radio stations and podcasts on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KAAY-AM_Logo.jpg
794d780c-ed90-42e1-ad51-f36d776150a6	920 AM The Sports Animal	KARNAM	4040	4	74	200	705	(0,0)	1000-01-01	1000-01-01	f	t	920	http://www.sportsanimal920.com	920amthesportsanimal	920 AM The Sports Animal on Audacy	Little Rock's Sports Animal	Where Central Arkansas turns for sports!	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	920amthesportsanimal	Where Central Arkansas turns for sports! Listen to 920 AM The Sports Animal here and get all your favorite radio stations on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KARN-AM_Logo.jpg
3783bf2d-d6ff-4876-aea3-c23f3040523b	News Radio 102.9 KARN	KARNFM	4041	2	46	200	710	(0,0)	1000-01-01	1000-01-01	f	t	102.9	http://www.newsradio1029.com	newsradio1029karn	News Radio 102.9 KARN on Audacy	Little Rock's News & Talk	News Talk & Weather On The 9s	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	newsradio1029karn	News Talk & Weather On The 9s! Listen to News Radio 102.9 KARN here and get all your favorite radio stations & podcasts on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KARN-FM_Logo.jpg
8e72bc67-f143-4fa1-bffd-dca779f46ca0	Power 92 Jams	KIPRFM	4042	1	33	200	710	(0,0)	1000-01-01	1000-01-01	f	t	1250/92.3	http://www.power923.com	power92jams	Power 92 Jams on Audacy	Power 923 Jams	The People's Station - Little Rock	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	power92jams	The People's Station - Little Rock. Listen to Power 92 Jams here and get KIPR-FM and all your favorite radio stations on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KIPR-FM_Logo.jpg
71dfb064-2108-4598-8f07-f059afd6c1a4	Alice @ 107.7	KLALFM	4043	1	54	200	710	(0,0)	1000-01-01	1000-01-01	f	t	107.7	http://www.alice1077.com	alice1077	Alice @ 107.7 on Audacy	Little Rock's Hit Music Channel	Little Rock's #1 Hit Music Channel	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	alice1077	Little Rock's #1 Hit Music Channel! Listen to Alice @ 107.7 here and get all your favorite radio stations on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KLAL-FM_Logo.jpg
5f6a26fb-3686-434e-bfa2-60a279a93b92	B98.5	KURBFM	4044	1	5	200	710	(0,0)	1000-01-01	1000-01-01	f	t	98.5	http://www.b98.com	b985	B98.5 on Audacy	Today's Hits, Yesterday's Favorites	Today's Hits and Yesterdays Favorites	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	b985	Today's Hits and Yesterdays Favorites! Listen to B98.5 here and get KURB-FM & all your favorite radio stations and podcasts on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KURB-FM_Logo.jpg
0b509c56-a97d-453a-b92f-c8d58a5ad562	790 KABC	KABCAM	4045	2	46	200	705	(0,0)	1000-01-01	1000-01-01	f	t	790	http://www.kabc.com	790kabc	790 KABC on Audacy	News. Talk. Evolved.	Southern California’s News. Talk. Evolved	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	790kabc	Southern California’s News. Talk. Evolved! Listen to 790 KABC here and get all your favorite radio stations and podcasts on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/KABC-AM_Logo.jpg
d33cc29b-139f-415c-a718-00ad352d66c3	99 WDEN	WDENFM	4046	1	21	200	710	(0,0)	1000-01-01	1000-01-01	f	t	99.1	http://www.wden.com	99wden	99 WDEN on Audacy	Macon's Number 1 Country	Broadcasting country music loud and proud since 1967	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	99wden	Broadcasting country music loud and proud since 1967. Listen to 99 WDEN here and get all your favorite radio stations and podcasts on Audacy.	t	f	910	en	en	https://images.radio.com/cumulus/logos/WDEN-FM_Logo.jpg
bd26b512-dd42-408f-bcfd-c962d3bcc3df	Macon 92.3	WLZNFM	4047	1	33	200	710	(0,0)	1000-01-01	1000-01-01	f	t	92.3	https://www.macon923.com/	macon923	Macon 92.3 on Audacy	Macon's Hottest Hip Hop & R&B	Macon's Hottest Hip Hop & R&B !	2021-09-21 18:21:37.986322+00	2023-08-30 18:15:31.972077+00	macon923	Macon's Hottest Hip Hop & R&B ! Listen to Macon 92.3 here and get all your favorite radio stations and podcasts on the go with the Audacy app.	t	f	910	en	en	https://images.radio.com/cumulus/logos/WLZN-FM_Logo.jpg
