DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-22713	5.279161075	Chris Mack
2024-04-06	BROADCAST	301-21455	5.271636252	Power 96 Miami's Party Station
2024-04-06	BROADCAST	301-14847	5.262904127	Joe Roasti
2024-04-06	BROADCAST	301-21429	5.253769142	Randy Davis
2024-04-06	BROADCAST	301-20524	5.228061075	North Shore Tavern Lead Off Show
2024-04-06	BROADCAST	301-21930	5.209480328	Dave Smith
2024-04-06	BROADCAST	301-13613	5.208734602	104.3 JAMS Throwbacks
2024-04-06	BROADCAST	301-21328	5.189963922	Brad Steiner
2024-04-06	BROADCAST	301-21611	5.187720511	WBEE Music
2024-04-06	BROADCAST	301-12267	5.179172734	Bryan O'Neal
2024-04-06	BROADCAST	301-17940	5.176879824	CA and Alec
2024-04-06	BROADCAST	301-12521	5.173698892	Rocky & Lissa In The Morning
2024-04-06	BROADCAST	301-19564	5.133238509	Brooke Allen
2024-04-06	BROADCAST	301-19546	5.128420241	Philadelphia's Evening News
2024-04-06	BROADCAST	301-1801	5.100210114	Mega En Tus Mañanas
2024-04-06	BROADCAST	301-17624	5.088093267	Best of Angelo Cataldi
2024-04-06	BROADCAST	301-22275	5.077805882	LSU Tigers Baseball
2024-04-06	BROADCAST	301-22575	5.071388237	CNN Newsroom Live
2024-04-06	BROADCAST	301-22025	5.054230987	Ryan Chichester
2024-04-06	BROADCAST	301-21511	5.038474063	Bears Pregame: Mully, Kreutz & Mannelly
2024-04-06	BROADCAST	301-19610	5.023871005	92-9 The Game Nights and Weekends
2024-04-06	BROADCAST	301-23012	4.992611582	Thursday Night Football on Westwood One
2024-04-06	BROADCAST	301-14773	4.968588016	The 7:20 Game
2024-04-06	BROADCAST	301-2161	4.955671571	Sports Open Line
2024-04-06	BROADCAST	301-12746	4.952541096	Chris Michaels
2024-04-06	BROADCAST	301-17221	4.947493457	Audacy Top 20 Country Countdown with Rob & Holly
2024-04-06	BROADCAST	301-19656	4.941257778	Nick Cannon
2024-04-06	BROADCAST	301-21065	4.938490671	Scott Shannon Presents: America's Greatest Hits
2024-04-06	BROADCAST	301-17904	4.931131884	CA, Alec and Will
2024-04-06	BROADCAST	301-21512	4.926138843	Bears Postgame: Mully, Kreutz & Mannelly
2024-04-06	BROADCAST	301-17225	4.920509111	Laura Boss
2024-04-06	BROADCAST	301-21531	4.913989575	Late Night Feel Good Music & Throwbacks
2024-04-06	BROADCAST	301-21512	4.907483583	Bears Postgame
2024-04-06	BROADCAST	301-23981	4.90435997	CJ Robinson on 102.7 The Beach
2024-04-06	BROADCAST	301-16999	4.899880037	The Overnight Groove
2024-04-06	BROADCAST	301-21077	4.892604298	Spezzano & Sandy
2024-04-06	BROADCAST	301-18429	4.890423482	Texans Monday
2024-04-06	BROADCAST	301-12151	4.884090427	Rob Lucas
2024-04-06	BROADCAST	301-21114	4.881531818	Wicker & Wilde
2024-04-06	BROADCAST	301-21703	4.868815212	Miami Heat Pregame Show
2024-04-06	BROADCAST	301-21980	4.862402105	Greg Bowman
2024-04-06	BROADCAST	301-21161	4.85857744	The Chet Buchanan Show
2024-04-06	BROADCAST	301-17158	4.821626827	What's Right Show
2024-04-06	BROADCAST	301-21382	4.80529054	Atlanta Falcons Football
2024-04-06	BROADCAST	301-12648	4.789282824	The Mike Powers & Woo Woo Show
2024-04-06	BROADCAST	301-22897	4.765878408	Colin Dunlap
2024-04-06	BROADCAST	301-12225	4.749747572	Lee Harris
2024-04-06	BROADCAST	301-22513	4.744870959	Hannity
2024-04-06	BROADCAST	301-15011	4.74465127	DJ Lil' Vegas
2024-04-06	BROADCAST	301-22990	4.743291566	Glenn Beck Program
2024-04-06	BROADCAST	301-13134	4.732462955	CBS News Weekend Roundup
2024-04-06	BROADCAST	301-22545	4.722185811	Broadway & Friends
2024-04-06	BROADCAST	301-19542	4.719303645	Philadelphia's Midday News with Michelle Durham
2024-04-06	BROADCAST	301-23520	4.674393014	University of Pittsburgh Basketball
2024-04-06	BROADCAST	301-21275	4.639409502	Conor Green
2024-04-06	BROADCAST	301-21107	4.638541985	Work and Play with Shae Bae
2024-04-06	BROADCAST	301-12460	4.63023099	98 Rock Programming
2024-04-06	BROADCAST	301-21221	4.629959627	98.5 WNCX Music
2024-04-06	BROADCAST	301-21417	4.607719971	Bubby Love
2024-04-06	BROADCAST	301-18431	4.605477392	This Morning: America's First News with Gordon Deal
2024-04-06	BROADCAST	301-21167	4.601701382	Paul Alexander Show
2024-04-06	BROADCAST	301-22313	4.601134774	Mady
2024-04-06	BROADCAST	301-23013	4.584383167	Sunday Night Football on Westwood One
2024-04-06	BROADCAST	301-12899	4.561024753	Handel on the Law
2024-04-06	BROADCAST	301-22510	4.529946334	Jesse Watters Primetime
2024-04-06	BROADCAST	301-19655	4.512930734	WCBS Newsradio 880 Nightly News
2024-04-06	BROADCAST	301-22209	4.507717026	Jenn Lopez
2024-04-06	BROADCAST	301-21196	4.503343709	99.5 WYCD Music
2024-04-06	BROADCAST	301-21939	4.498561852	The Best of Fox Across America w/Jimmy Failla
2024-04-06	BROADCAST	301-16724	4.48295231	Evan Roberts
2024-04-06	BROADCAST	301-12408	4.431289793	Jonathan Suttin
2024-04-06	BROADCAST	301-12098	4.412304608	Nights on The Wolf
2024-04-06	BROADCAST	301-21913	4.399552525	Tim Barbalace
2024-04-06	BROADCAST	301-21397	4.394822779	The Second Guess with Mike Detillier and Bobby Hebert
2024-04-06	BROADCAST	301-16624	4.394015294	Jim Lawson
2024-04-06	BROADCAST	301-19243	4.380833012	Evan Roberts & Sal Licata
2024-04-06	BROADCAST	301-21514	4.354304086	Kevin Schatz
2024-04-06	BROADCAST	301-19351	4.338281974	Brian McKeon
2024-04-06	BROADCAST	301-12682	4.312483688	Classic Rock Nights
2024-04-06	BROADCAST	301-22649	4.310724862	Lara Mondae
2024-04-06	BROADCAST	301-15769	4.291352533	Nick & Kristen in the Morning
2024-04-06	BROADCAST	301-20964	4.274656255	Mel
2024-04-06	BROADCAST	301-14787	4.266387814	Dana
2024-04-06	BROADCAST	301-22518	4.23675733	The Best of the Brian Kilmeade Show
2024-04-06	BROADCAST	301-19826	4.214985372	DeDe In The Morning
2024-04-06	BROADCAST	301-12643	4.204995114	KEYN
2024-04-06	BROADCAST	301-22179	4.199619277	Alternative Mornings with Greg & Biscuit
2024-04-06	BROADCAST	301-23946	4.161392617	93XRT Chicago's Finest Rock
2024-04-06	BROADCAST	301-17644	4.139044832	Players' Lounge
2024-04-06	BROADCAST	301-14448	4.136156955	DJ CO1
2024-04-06	BROADCAST	301-21378	4.126361992	Malaysia
2024-04-06	BROADCAST	301-22564	4.124503497	Erin Burnett OutFront
2024-04-06	BROADCAST	301-23671	4.12085402	Variety From the 80's to Now
2024-04-06	BROADCAST	301-14500	4.108086088	Tiffany Warner
2024-04-06	BROADCAST	301-12166	4.095603313	Dude It's The 80's
2024-04-06	BROADCAST	301-1805	4.075712934	Jill On Money
2024-04-06	BROADCAST	301-17126	4.072129829	Liz Mantel
2024-04-06	BROADCAST	301-19130	4.069753637	Steve Somers
2024-04-06	BROADCAST	301-17667	4.068228479	Sam & Greg
2024-04-06	BROADCAST	301-21704	4.067528531	Miami Heat Basketball
2024-04-06	BROADCAST	301-20393	4.031763049	Boston Red Sox Baseball (On-air Only)
2024-04-06	BROADCAST	301-12445	4.028180841	Sunny 98.1
2024-04-06	BROADCAST	301-18430	4.024009775	The Best of Today with Tyler Milner
2024-04-06	BROADCAST	301-22435	4.012868438	Lynnell Willingham
2024-04-06	BROADCAST	301-22074	4.006958267	Sarah & Vinnie's Saturday Morning Special
2024-04-06	BROADCAST	301-22182	3.990583183	Countdown to Kickoff on 94WIP
2024-04-06	BROADCAST	301-21909	3.987403841	Christian Arcand
2024-04-06	BROADCAST	301-14482	3.97694415	Spanky
2024-04-06	BROADCAST	301-21580	3.967217966	More Ways to Win with Andrew Fillipponi Presented by FanDuel
2024-04-06	BROADCAST	301-14382	3.963739621	Hot 95.9
2024-04-06	BROADCAST	301-17220	3.957228445	Billy Kidd
2024-04-06	BROADCAST	301-12067	3.94973585	Renee Taylor
2024-04-06	BROADCAST	301-12671	3.93178587	Debbins
2024-04-06	BROADCAST	301-21148	3.918232843	Mornings with Rob and Joss
2024-04-06	BROADCAST	301-18812	3.914566201	Jeff Lesson
2024-04-06	BROADCAST	301-21624	3.895841384	Chiefs Radio Network Simulcast
2024-04-06	BROADCAST	301-22561	3.886924045	Inside Politics with John King
2024-04-06	BROADCAST	301-17358	3.880114721	Wiggins America
2024-04-06	BROADCAST	301-22414	3.878446189	Baltimore Baseball Tonight
2024-04-06	BROADCAST	301-18014	3.845420009	WEEI Producers Show
2024-04-06	BROADCAST	301-13288	3.833745034	The Sports Bar with Danger & Battaglia
2024-04-06	BROADCAST	301-13945	3.795156324	Morris Knight
2024-04-06	BROADCAST	301-20645	3.787760902	WWL First News Early Edition with Dave Cohen
2024-04-06	BROADCAST	301-14727	3.781608387	Fritz
2024-04-06	BROADCAST	301-12485	3.741959414	Point Music
2024-04-06	BROADCAST	301-14072	3.737407364	CJ
2024-04-06	BROADCAST	301-22107	3.731539712	Ben Shapiro
2024-04-06	BROADCAST	301-22839	3.731372289	Miami Football Gameday Uncensored
2024-04-06	BROADCAST	301-21337	3.717999752	The Bud Light Countdown to Kickoff with Bobby Hebert
2024-04-06	BROADCAST	301-19187	3.699133777	Michael Wallace and Steve Scott
2024-04-06	BROADCAST	301-19632	3.692686406	BetMGM The Daily Tip
2024-04-06	BROADCAST	301-687	3.690140472	Sue Csendes
2024-04-06	BROADCAST	301-17727	3.667372605	Denny Long
2024-04-06	BROADCAST	301-21544	3.660138135	Ducks Football
2024-04-06	BROADCAST	301-17572	3.652444632	The Stormm Show with Princess Stormm
2024-04-06	BROADCAST	301-12630	3.649409394	The Doc Show
2024-04-06	BROADCAST	301-21430	3.638450498	Q100.5 Today's Rhythm & Vegas' Best Throwbacks
2024-04-06	BROADCAST	301-22099	3.620413872	Early Odds with Joe Ostrowski
2024-04-06	BROADCAST	301-12718	3.62031015	Pam Yates
2024-04-06	BROADCAST	301-23501	3.611022685	Lisa Stanley
2024-04-06	BROADCAST	301-13010	3.603334542	Hire It Done
2024-04-06	BROADCAST	301-12708	3.602003937	Megan
2024-04-06	BROADCAST	301-23026	3.597036502	Big Blue Preview
2024-04-06	BROADCAST	301-23200	3.595115316	Tracey McCaskill
2024-04-06	BROADCAST	301-19507	3.577414461	BetQL Special
2024-04-06	BROADCAST	301-21053	3.567477728	Shaun Morash & Tommy Lugauer
2024-04-06	BROADCAST	301-14499	3.548877436	100% Throwbacks
2024-04-06	BROADCAST	301-21653	3.540824747	Stokley and Zach
2024-04-06	BROADCAST	301-15053	3.513338443	Rochester's Classic Rock!
2024-04-06	BROADCAST	301-21605	3.50434353	The Kidd Kraddick Morning Show
2024-04-06	BROADCAST	301-12130	3.467242071	QL
2024-04-06	BROADCAST	301-18736	3.451750193	Washington Wizards Basketball
2024-04-06	BROADCAST	301-12670	3.440774274	PXY Mornings with Moose and Breezy
2024-04-06	BROADCAST	301-13199	3.4372213	Kansas City's Morning News
2024-04-06	BROADCAST	301-12459	3.434391241	Pat Martin in the Morning
2024-04-06	BROADCAST	301-19531	3.425477291	Trysta Krick
2024-04-06	BROADCAST	301-21983	3.416329085	Julie & Friends
2024-04-06	BROADCAST	301-21534	3.414976779	10 In A Row Weekends
2024-04-06	BROADCAST	301-15505	3.409735225	BetQL Daily
2024-04-06	BROADCAST	301-17716	3.406041653	Chris Thomas
2024-04-06	BROADCAST	301-17561	3.403111098	Bob and Jeff
2024-04-06	BROADCAST	301-22527	3.384861216	Philadelphia Eagles Draft Coverage
2024-04-06	BROADCAST	301-20640	3.375394741	Keyshawn Johnson, Jay Williams, & Max Kellerman
2024-04-06	BROADCAST	301-14776	3.352739012	SportsCenter All Night
2024-04-06	BROADCAST	301-21668	3.346428024	101% Classic Rock overnights!
2024-04-06	BROADCAST	301-22238	3.339962873	Extended Eagles coverage
2024-04-06	BROADCAST	301-17103	3.338028267	Rev. Mary Tillman aka Radio Angel
2024-04-06	BROADCAST	301-21490	3.321399183	LSU Tigers Football
2024-04-06	BROADCAST	301-21462	3.321007417	Kansas State University Athletics
2024-04-06	BROADCAST	301-21419	3.318692778	BIG 98.1
2024-04-06	BROADCAST	301-14590	3.317955204	Jill bucco
2024-04-06	BROADCAST	301-22818	3.30569773	Doc Walker & Lynnell Willingham
2024-04-06	BROADCAST	301-17946	3.305669743	Hurricane Hotline with Joe Zagacki
2024-04-06	BROADCAST	301-21412	3.302553236	The Planet's ALL Nighter
2024-04-06	BROADCAST	301-22776	3.290332438	Carla
2024-04-06	BROADCAST	301-22766	3.284128683	102 JAMS
2024-04-06	BROADCAST	301-675	3.281371595	The Quiet Storm with Joyce Littel
2024-04-06	BROADCAST	301-22290	3.267495384	The All Night Party Mix with Heather Collins
2024-04-06	BROADCAST	301-21912	3.265345852	Glenn Clark
2024-04-06	BROADCAST	301-20563	3.258703094	Cale Berger
2024-04-06	BROADCAST	301-21367	3.251666077	BetMGM Gameday
2024-04-06	BROADCAST	301-20937	3.245216676	Dave & Barb
2024-04-06	BROADCAST	301-14529	3.243734773	Ron and Karen
2024-04-06	BROADCAST	301-21253	3.238043004	99.5 The Wolf Music
2024-04-06	BROADCAST	301-22437	3.230502963	Doc & Scott
2024-04-06	BROADCAST	301-19607	3.217123922	John Fricke
2024-04-06	BROADCAST	301-18416	3.193639095	Home Show with Tom Tynan
2024-04-06	BROADCAST	301-17320	3.189487844	Q Morning Show
2024-04-06	BROADCAST	301-17606	3.179238244	Chicago Bears Football
2024-04-06	BROADCAST	301-13100	3.171709136	Sports Daily
2024-04-06	BROADCAST	301-21500	3.168083499	Torry
2024-04-06	BROADCAST	301-17949	3.168043481	South Florida High School Sports with Larry Blustein
2024-04-06	BROADCAST	301-17862	3.1603437	Score Values
2024-04-06	BROADCAST	301-22277	3.157288086	What You Missed On The Fan
2024-04-06	BROADCAST	301-22717	3.144962919	Sal Licata & Chris McMonigle
2024-04-06	BROADCAST	301-22563	3.134582067	The Situation Room with Wolf Blitzer
2024-04-06	BROADCAST	301-17097	3.122977522	DJ Quinn
2024-04-06	BROADCAST	301-21390	3.108025138	Candi
2024-04-06	BROADCAST	301-12864	3.099861724	The Zaslow Show
2024-04-06	BROADCAST	301-21815	3.096822846	Magic 106.3
2024-04-06	BROADCAST	301-21609	3.096152202	Jess Bonilla
2024-04-06	BROADCAST	301-22512	3.088128258	Fox News Tonight
2024-04-06	BROADCAST	301-21472	3.075809194	107-7 The End Music
2024-04-06	BROADCAST	301-14375	3.07334045	Big Bay Mornings
2024-04-06	BROADCAST	301-21512	3.066939137	Bears Postgame: Zaidman, Hilgenberg & Schwantz
2024-04-06	BROADCAST	301-1120	3.056758923	Early Morning Praise with Larry Tinsley
2024-04-06	BROADCAST	301-22515	3.054922644	The Ingraham Angle
2024-04-06	BROADCAST	301-21513	3.038469178	Bears Postgame: Herron
2024-04-06	BROADCAST	301-19556	3.016313311	Good Vibes with Ms. Eclectic
2024-04-06	BROADCAST	301-13486	3.007549769	Boner
2024-04-06	BROADCAST	301-20059	3.003317038	Atlanta United Soccer
2024-04-06	BROADCAST	301-22565	2.992695601	Anderson Cooper 360
2024-04-06	BROADCAST	301-20144	2.990071173	Jim Hart
2024-04-06	BROADCAST	301-17320	2.984136983	Morgan and Bill
2024-04-06	BROADCAST	301-21975	2.977581443	Mike Popovec
2024-04-06	BROADCAST	301-1298	2.96318105	Bill Cunningham
2024-04-06	BROADCAST	301-13424	2.961383655	Elvis Duran and the Morning Show
2024-04-06	BROADCAST	301-21252	2.944594865	90's Country with Heather
2024-04-06	BROADCAST	301-17894	2.943749161	WAOK Late Night
2024-04-06	BROADCAST	301-16598	2.938799092	NCAA Football
2024-04-06	BROADCAST	301-12756	2.935187639	98.5 KTK Morning Show
2024-04-06	BROADCAST	301-23664	2.928106764	Kickoff with Boomer & Valenti
2024-04-06	BROADCAST	301-21888	2.923927822	Pitt Panthers Blue Gold Game
2024-04-06	BROADCAST	301-450	2.910185566	Mega Música
2024-04-06	BROADCAST	301-21282	2.908724272	Michelle Briddell
2024-04-06	BROADCAST	301-17715	2.902913026	The Hometown Take with Dylan Mathews
2024-04-06	BROADCAST	301-12328	2.899453028	102 Jamz
2024-04-06	BROADCAST	301-21651	2.899140301	Schlereth and Evans
2024-04-06	BROADCAST	301-19577	2.891362003	Coast to Coast AM with George Noory
2024-04-06	BROADCAST	301-22994	2.87619111	Miles The DJ
2024-04-06	BROADCAST	301-13392	2.875409166	The Vince Coakley Radio Program
2024-04-06	BROADCAST	301-22820	2.873081351	KSFM Music
2024-04-06	BROADCAST	301-22985	2.87180214	KJ & Lyons
2024-04-06	BROADCAST	301-17888	2.868828633	Gameday Uncensored
2024-04-06	BROADCAST	301-2105	2.866743331	Dina B
2024-04-06	BROADCAST	301-20617	2.860306777	Jacob Albracht
2024-04-06	BROADCAST	301-21523	2.85951472	Shawn Patrick
2024-04-06	BROADCAST	301-22387	2.85904951	Ramirez & Harbor
2024-04-06	BROADCAST	301-19325	2.857842363	Sal Licata & Keith McPherson
2024-04-06	BROADCAST	301-17563	2.854766298	Mark
2024-04-06	BROADCAST	301-20952	2.849097264	Jenn Hobby
2024-04-06	BROADCAST	301-20687	2.845453484	Brian Webber
2024-04-06	BROADCAST	301-17571	2.834577746	94WIP Weekends
2024-04-06	BROADCAST	301-22149	2.823813507	NFC Championship Game: San Francisco 49ers vs. Philadelphia Eagles
2024-04-06	BROADCAST	301-21777	2.817575617	Day At Night with Dan Day
2024-04-06	BROADCAST	301-18506	2.814081479	Mike Opelka
2024-04-06	BROADCAST	301-22293	2.807215311	On the Clock
2024-04-06	BROADCAST	301-13674	2.805347769	WTIC Sunrise Special
2024-04-06	BROADCAST	301-13624	2.804756008	Mia Amor
2024-04-06	BROADCAST	301-22556	2.800330761	The Bettor Angle
2024-04-06	BROADCAST	301-2510	2.797010734	Robert Patillo and People, Passion and Politics
2024-04-06	BROADCAST	301-12644	2.788799609	Tom Kent
2024-04-06	BROADCAST	301-22566	2.787872743	CNN Tonight
2024-04-06	BROADCAST	301-20940	2.787449433	Jonny Ramirez and Bo Leo In The Morning
2024-04-06	BROADCAST	301-22768	2.786715156	Greg Carpenter
2024-04-06	BROADCAST	301-21435	2.786364066	98.1 The More Music Afternoons
2024-04-06	BROADCAST	301-22175	2.781167838	Producer Eric
2024-04-06	BROADCAST	301-21579	2.780032267	Black And Gold Gameday
2024-04-06	BROADCAST	301-22976	2.776105849	Anthony Gallo
2024-04-06	BROADCAST	301-18008	2.758773764	Bradfo Sho
2024-04-06	BROADCAST	301-12066	2.756586539	Totally 80's Friday Night
2024-04-06	BROADCAST	301-21479	2.755659467	98.5 KLUC Las Vegas' #1 Hit Music Station
2024-04-06	BROADCAST	301-17729	2.755464821	Smart Gardens
2024-04-06	BROADCAST	301-13248	2.751296929	This Weekend with Gordon Deal
2024-04-06	BROADCAST	301-23869	2.746984429	Alternative Eras Tour
2024-04-06	BROADCAST	301-13561	2.731033681	The WRCH Workday Kick-Off
2024-04-06	BROADCAST	301-13084	2.72981342	The Gary Parrish Show
2024-04-06	BROADCAST	301-23890	2.727292586	Jon Johnson and Hunter Brody
2024-04-06	BROADCAST	301-20405	2.724410431	The Garden Hotline with Mike Miller
2024-04-06	BROADCAST	301-17641	2.713298745	NFC Championship Playoff Football on Westwood One - Lions vs. 49ers
2024-04-06	BROADCAST	301-23532	2.673895141	94WIP Afternoons: Live at Chickie's!
2024-04-06	BROADCAST	301-22052	2.664247367	NFL Playoffs Placeholder
2024-04-06	BROADCAST	301-17433	2.658179279	Doc
2024-04-06	BROADCAST	301-21652	2.64655844	The Players Club
2024-04-06	BROADCAST	301-20413	2.645437874	Sports On a Sunday w/ Ackerman
2024-04-06	BROADCAST	301-21332	2.642264898	Tami Heide
2024-04-06	BROADCAST	301-13079	2.639029596	This Morning--America's First News with Gordon Deal
2024-04-06	BROADCAST	301-21816	2.638288539	John  Tesh
2024-04-06	BROADCAST	301-14815	2.631154917	Andy Gresh
2024-04-06	BROADCAST	301-22286	2.624860488	Bill Matz and Marcus Hayes
2024-04-06	BROADCAST	301-16814	2.623964704	Tori Thomas
2024-04-06	BROADCAST	301-17670	2.615880309	Falcons Flyover
2024-04-06	BROADCAST	301-12404	2.607711094	Amber Star
2024-04-06	BROADCAST	301-21478	2.601913824	Darren Sturgess
2024-04-06	BROADCAST	301-20847	2.600328875	98.7 Simon Overnights
2024-04-06	BROADCAST	301-22588	2.599296339	Mix 105.1 Orlando's Best Variety
2024-04-06	BROADCAST	301-15008	2.594830634	Marky Marc
2024-04-06	BROADCAST	301-1875	2.592958332	Greg Mack
2024-04-06	BROADCAST	301-22434	2.585955064	Adam Epstein
2024-04-06	BROADCAST	301-2400	2.577382327	KNX Morning News with Dick Helton and Vicky Moore
2024-04-06	BROADCAST	301-21905	2.573609117	Thursday Night Football on Westwood One - Jets @ Browns
2024-04-06	BROADCAST	301-17980	2.56974941	Keyshawn, JWill & Max
2024-04-06	BROADCAST	301-17596	2.561248047	Corey Dillon
2024-04-06	BROADCAST	301-22199	2.544424683	94/7 AT NIGHT
2024-04-06	BROADCAST	301-19828	2.543046093	KiKi Brown
2024-04-06	BROADCAST	301-17840	2.541538873	Saturdays with Steve Parker
2024-04-06	BROADCAST	301-23828	2.535047599	Sean Levine
2024-04-06	BROADCAST	301-21320	2.531492347	Best of WBEN
2024-04-06	BROADCAST	301-17669	2.529504664	Atlanta Falcons Postgame Show
2024-04-06	BROADCAST	301-13927	2.525635738	Melissa Moore
2024-04-06	BROADCAST	301-18619	2.52454639	Virginia Tech Hokies Basketball
2024-04-06	BROADCAST	301-22576	2.522952552	CNN This Morning Weekend
2024-04-06	BROADCAST	301-17592	2.522214918	Scott Sparks
2024-04-06	BROADCAST	301-18447	2.518703569	Vegas at 8 with Alan Stock
2024-04-06	BROADCAST	301-17604	2.516790079	Face The Nation
2024-04-06	BROADCAST	301-17359	2.514709732	Drew Hastings
2024-04-06	BROADCAST	301-21423	2.505696562	Boston College Football
2024-04-06	BROADCAST	301-12577	2.495894804	Mix Music
2024-04-06	BROADCAST	301-23861	2.489294926	Year in Review
2024-04-06	BROADCAST	301-17856	2.486783959	Anthony Herron
2024-04-06	BROADCAST	301-17719	2.461207393	I'm Listening
2024-04-06	BROADCAST	301-21645	2.451322176	AFC Championship Playoff Football on Westwood One - Chiefs vs. Ravens
2024-04-06	BROADCAST	301-12252	2.443730851	Kat
2024-04-06	BROADCAST	301-22524	2.438719351	2023 NFL Draft Show
2024-04-06	BROADCAST	301-14493	2.435905837	Armstrong & Getty
2024-04-06	BROADCAST	301-21586	2.435863604	Kyle
2024-04-06	BROADCAST	301-20716	2.433609132	Josh Taylor
2024-04-06	BROADCAST	301-24000	2.433138525	Rob Ellis and Ashlyn Sullivan
2024-04-06	BROADCAST	301-23077	2.42737446	Chris Keyzer
2024-04-06	BROADCAST	301-17940	2.420214311	CA and Will
2024-04-06	BROADCAST	301-18782	2.406184617	Cardle & Woolley
2024-04-06	BROADCAST	301-19556	2.40504609	News-Talk 1380 WAOK Nights and Weekends
2024-04-06	BROADCAST	301-18013	2.403700364	WEEI Public Affairs
2024-04-06	BROADCAST	301-21785	2.393539626	Adam Crowley
2024-04-06	BROADCAST	301-22147	2.390288683	2023 NFL Pro Bowl Games
2024-04-06	BROADCAST	301-22517	2.381128916	FOX News Rundown: From Washington
2024-04-06	BROADCAST	301-22504	2.379169339	One Nation w/ Brian Kilmeade
2024-04-06	BROADCAST	301-21905	2.370568209	NFL Divisional Playoff Football on Westwood One - Texans @ Ravens
2024-04-06	BROADCAST	301-22233	2.369636641	WEEKENDS WITH 94/7
2024-04-06	BROADCAST	301-21443	2.369246306	US101 More Music Overnights
2024-04-06	BROADCAST	301-19777	2.363888148	Rose Tennent
2024-04-06	BROADCAST	301-22516	2.356414966	FOX News at Night
2024-04-06	BROADCAST	301-17733	2.354145166	Sports Huddle
2024-04-06	BROADCAST	301-23099	2.348766324	Today's Best Music
2024-04-06	BROADCAST	301-20646	2.34616839	Louisiana Great Outdoors with Don Dubuc
2024-04-06	BROADCAST	301-14584	2.344993167	DJ Alex D
2024-04-06	BROADCAST	301-17730	2.344504159	Home Improvement Show with Lindus Construction
2024-04-06	BROADCAST	301-21384	2.343057247	Kansas City Chiefs Football
2024-04-06	BROADCAST	301-21400	2.332876137	Acoustic Sunrise on Alice
2024-04-06	BROADCAST	301-20933	2.329271623	Jackie Brush
2024-04-06	BROADCAST	301-22236	2.32910659	Bill Matz and Devan Kaney
2024-04-06	BROADCAST	301-22310	2.327456249	The Baka Boyz
2024-04-06	BROADCAST	301-18208	2.325495943	Bob and Tom
2024-04-06	BROADCAST	301-23008	2.307795623	Tom Kelly and Marcus Hayes
2024-04-06	BROADCAST	301-23020	2.303318874	Johanna Gomez
2024-04-06	BROADCAST	301-23062	2.290467576	Demeco Ryans Coach's Show
2024-04-06	BROADCAST	301-2341	2.286531839	Mix 96.5 - 90s to Now!
2024-04-06	BROADCAST	301-20696	2.284754179	Bucco Talk
2024-04-06	BROADCAST	301-21760	2.28120886	Billy
2024-04-06	BROADCAST	301-22440	2.276374925	Jack Fritz and Rob Ellis
2024-04-06	BROADCAST	301-21511	2.268520695	Bears Pregame: Zaidman, Hilgenberg & Schwantz
2024-04-06	BROADCAST	301-21124	2.268236799	KOOL DJ FOOT
2024-04-06	BROADCAST	301-14625	2.262848712	Ashley O
2024-04-06	BROADCAST	301-17776	2.258674619	Eye on Travel with Peter Greenberg
2024-04-06	BROADCAST	301-13555	2.238251432	Sean Pendergast
2024-04-06	BROADCAST	301-17187	2.221227216	The Jubal Show
2024-04-06	BROADCAST	301-22804	2.220745845	Live 105
2024-04-06	BROADCAST	301-22699	2.219720659	Tom Kelly & Bill Matz
2024-04-06	BROADCAST	301-20946	2.206656453	Inside Retirement
2024-04-06	BROADCAST	301-18523	2.193099527	Crash Proof Retirement Show
2024-04-06	BROADCAST	301-22444	2.190109983	Afternoons with Jayn
2024-04-06	BROADCAST	301-21314	2.184457078	Home Improvement Show with Domenic Cortese
2024-04-06	BROADCAST	301-19348	2.170871873	Marc Malusis & Sal Licata
2024-04-06	BROADCAST	301-20512	2.159743665	Kuhn's Cooking Hour
2024-04-06	BROADCAST	301-20562	2.15722897	Panther Insider Show with Pat Bostick
2024-04-06	BROADCAST	301-12236	2.156114672	Doug Tatum
2024-04-06	BROADCAST	301-12187	2.155312694	The Toshamakia Takeover
2024-04-06	BROADCAST	301-22569	2.152209523	CNN Newsroom with Fredricka Whitfield
2024-04-06	BROADCAST	301-23081	2.150752622	NFL Wild Card Weekend Football on Westwood One - Steelers vs. Bills
2024-04-06	BROADCAST	301-22700	2.148687142	Tori Star
2024-04-06	BROADCAST	301-17586	2.141271321	Cleveland Browns Weekend
2024-04-06	BROADCAST	301-13330	2.139665181	Mut at Night
2024-04-06	BROADCAST	301-17641	2.138214199	NFL Wild Card Weekend Football on Westwood One - Dolphins vs. Chiefs
2024-04-06	BROADCAST	301-12785	2.125515467	Everything. All The Time
2024-04-06	BROADCAST	301-474	2.124235656	Jenny Boom Boom
2024-04-06	BROADCAST	301-22180	2.124110698	NFL Draft Post Show with CA and Bobby
2024-04-06	BROADCAST	301-22287	2.121909799	Jason in the House
2024-04-06	BROADCAST	301-12506	2.120353831	Donnie McClurkin
2024-04-06	BROADCAST	301-21804	2.120263133	KRLD Weekend News
2024-04-06	BROADCAST	301-22397	2.110495622	Corey Crockett
